Idx,Name,Group
1,wall,2
2,building;edifice,2
26,house,2
49,skyscraper,2
80,hovel;hut;hutch;shack;shanty,2
85,tower,2
3,sky,3
4,floor;flooring,4
5,tree,5
73,palm;palm;tree,5
6,ceiling,6
7,road;route,7
12,sidewalk;pavement,7
53,path,7
55,runway,7
62,bridge;span,7
92,dirt;track,7
141,pier;wharf;wharfage;dock,7
8,bed,8
118,cradle,8
9,windowpane;window,9
11,cabinet,10
36,wardrobe;closet;press,10
45,chest;of;drawers;chest;bureau;dresser,10
100,buffet;counter;sideboard,10
13,person;individual;someone;somebody;mortal;soul,11
127,animal;animate;being;beast;brute;creature;fauna,11
10,grass,12
14,earth;ground,12
17,mountain;mount,12
18,plant;flora;plant;life,12
30,field,12
35,rock;stone,12
47,sand,12
67,flower,12
69,hill,12
95,land;ground;soil,12
15,door;double;door,13
59,screen;door;screen,13
16,table,14
20,chair,14
24,sofa;couch;lounge,14
31,armchair,14
32,seat,14
34,desk,14
57,pool;table;billiard;table;snooker;table,14
65,coffee;table;cocktail;table,14
76,swivel;chair,14
98,ottoman;pouf;pouffe;puff;hassock,14
111,stool,14
19,curtain;drape;drapery;mantle;pall,15
107,canopy,15
21,car;auto;automobile;machine;motorcar,16
77,boat,16
81,bus;autobus;coach;charabanc;double-decker;jitney;motorbus;motorcoach;omnibus;passenger;vehicle,16
84,truck;motortruck,16
91,airplane;aeroplane;plane,16
103,van,16
104,ship,16
117,minibike;motorbike,16
128,bicycle;bike;wheel;cycle,16
22,water,17
27,sea,17
61,river,17
110,swimming;pool;swimming;bath;natatorium,17
114,waterfall;falls,17
129,lake,17
23,painting;picture,18
44,signboard;sign,18
101,poster;posting;placard;notice;bill;card,18
124,trade;name;brand;name;brand;marque,18
145,bulletin;board;notice;board,18
25,shelf,19
63,bookcase,19
28,mirror,20
29,rug;carpet;carpeting,21
33,fence;fencing,22
39,railing;rail,22
96,bannister;banister;balustrade;balusters;handrail,22
37,lamp,23
38,bathtub;bathing;tub;bath;tub,24
40,cushion,25
58,pillow,25
41,base;pedestal;stand,26
52,grandstand;covered;stand,26
42,box,27
43,column;pillar,28
94,pole,28
46,counter,29
70,bench,29
71,countertop,29
78,bar,29
48,sink,30
50,fireplace;hearth;open;fireplace,31
51,refrigerator;icebox,32
54,stairs;steps,33
60,stairway;staircase,33
97,escalator;moving;staircase;moving;stairway,33
122,step;stair,33
56,case;display;case;showcase;vitrine,34
64,blind;screen,34
87,awning;sunshade;sunblind,34
66,toilet;can;commode;crapper;pot;potty;stool;throne,35
68,book,36
72,stove;kitchen;stove;range;kitchen;range;cooking;stove,37
74,kitchen;island,37
119,oven,37
125,microwave;microwave;oven,37
134,hood;exhaust;hood,37
75,computer;computing;machine;computing;device;data;processor;electronic;computer;information;processing;system,38
144,monitor;monitoring;device,38
79,arcade;machine,39
82,towel,40
83,light;light;source,41
86,chandelier;pendant;pendent,41
88,streetlight;street;lamp,41
135,sconce,41
137,traffic;light;traffic;signal;stoplight,41
89,booth;cubicle;stall;kiosk,42
90,television;television;receiver;television;set;tv;tv;set;idiot;box;boob;tube;telly;goggle;box,43
131,screen;silver;screen;projection;screen,43
142,crt;screen,43
93,apparel;wearing;apparel;dress;clothes,44
99,bottle,45
148,glass;drinking;glass,45
102,stage,46
105,fountain,47
106,conveyer;belt;conveyor;belt;conveyer;conveyor;transporter,48
108,washer;automatic;washer;washing;machine,49
130,dishwasher;dish;washer;dishwashing;machine,49
109,plaything;toy,50
112,barrel;cask,51
123,tank;storage;tank,51
113,basket;handbasket,52
115,tent;collapsible;shelter,53
116,bag,54
120,ball,55
121,food;solid;food,56
126,pot;flowerpot,57
136,vase,57
132,blanket;cover,58
133,sculpture,59
138,tray,60
143,plate,60
139,ashcan;trash;can;garbage;can;wastebin;ash;bin;ash-bin;ashbin;dustbin;trash;barrel;trash;bin,61
140,fan,62
146,shower,63
147,radiator,64
149,clock,65
150,flag,66
